Line_ID,Stop_Order,Station_Name,Price
BusLine_1,1,Fruit 5 Bus Station,3.8
BusLine_1,2,Dog 33 Bus Station,3.8
BusLine_1,3,Egg 31 Bus Station,3.8
BusLine_1,4,Cat 3 Bus Station,3.8
BusLine_1,5,Happy 33 Bus Station,3.8
BusLine_1,6,Apple 24 Bus Station,3.8
BusLine_2,1,Happy 26 Bus Station,5.0
BusLine_2,2,Apple 5 Bus Station,5.0
BusLine_2,3,Banana 30 Bus Station,5.0
BusLine_2,4,Apple 3 Bus Station,5.0
BusLine_2,5,Happy 45 Bus Station,5.0
BusLine_2,6,Grape 28 Bus Station,5.0
BusLine_2,7,Grape 25 Bus Station,5.0
BusLine_2,8,Happy 39 Bus Station,5.0
BusLine_3,1,Happy 33 Bus Station,7.0
BusLine_3,2,Grape 9 Bus Station,7.0
BusLine_3,3,Happy 11 Bus Station,7.0
BusLine_3,4,Grape 7 Bus Station,7.0
BusLine_3,5,Cat 25 Bus Station,7.0
BusLine_3,6,Grape 30 Bus Station,7.0
BusLine_4,1,Fruit 2 Bus Station,7.5
BusLine_4,2,Grape 25 Bus Station,7.5
BusLine_4,3,Happy 45 Bus Station,7.5
BusLine_4,4,Dog 21 Bus Station,7.5
BusLine_4,5,Happy 28 Bus Station,7.5
BusLine_4,6,Happy 26 Bus Station,7.5
BusLine_4,7,Banana 8 Bus Station,7.5
BusLine_4,8,Apple 34 Bus Station,7.5
BusLine_4,9,Happy 27 Bus Station,7.5
BusLine_4,10,Egg 14 Bus Station,7.5
BusLine_5,1,Egg 31 Bus Station,17.1
BusLine_5,2,Dog 20 Bus Station,17.1
BusLine_5,3,Dog 35 Bus Station,17.1
BusLine_5,4,Happy 39 Bus Station,17.1
BusLine_5,5,Happy 45 Bus Station,17.1
BusLine_5,6,Banana 8 Bus Station,17.1
BusLine_5,7,Happy 28 Bus Station,17.1
BusLine_5,8,Egg 14 Bus Station,17.1
BusLine_5,9,Cat 5 Bus Station,17.1
BusLine_6,1,Happy 22 Bus Station,2.3
BusLine_6,2,Egg 7 Bus Station,2.3
BusLine_6,3,Dog 24 Bus Station,2.3
BusLine_7,1,Cat 3 Bus Station,2.6
BusLine_7,2,Happy 1 Bus Station,2.6
BusLine_7,3,Banana 11 Bus Station,2.6
BusLine_7,4,Egg 31 Bus Station,2.6
BusLine_7,5,Cat 14 Bus Station,2.6
BusLine_7,6,Banana 33 Bus Station,2.6
BusLine_7,7,Happy 11 Bus Station,2.6
BusLine_8,1,Apple 26 Bus Station,11.0
BusLine_8,2,Banana 16 Bus Station,11.0
BusLine_8,3,Dog 27 Bus Station,11.0
BusLine_8,4,Fruit 22 Bus Station,11.0
BusLine_8,5,Happy 39 Bus Station,11.0
BusLine_8,6,Dog 21 Bus Station,11.0
BusLine_8,7,Fruit 26 Bus Station,11.0
BusLine_8,8,Happy 27 Bus Station,11.0
BusLine_9,1,Egg 2 Bus Station,12.9
BusLine_9,2,Egg 23 Bus Station,12.9
BusLine_9,3,Happy 9 Bus Station,12.9
BusLine_9,4,Happy 26 Bus Station,12.9
BusLine_9,5,Grape 25 Bus Station,12.9
BusLine_9,6,Happy 25 Bus Station,12.9
BusLine_10,1,Egg 5 Bus Station,12.8
BusLine_10,2,Grape 7 Bus Station,12.8
BusLine_10,3,Apple 24 Bus Station,12.8
BusLine_10,4,Apple 38 Bus Station,12.8
BusLine_10,5,Grape 28 Bus Station,12.8
BusLine_10,6,Dog 2 Bus Station,12.8
BusLine_10,7,Banana 8 Bus Station,12.8
BusLine_10,8,Banana 27 Bus Station,12.8
BusLine_11,1,Grape 9 Bus Station,4.1
BusLine_11,2,Apple 24 Bus Station,4.1
BusLine_11,3,Happy 33 Bus Station,4.1
BusLine_11,4,Dog 33 Bus Station,4.1
BusLine_11,5,Cat 3 Bus Station,4.1
BusLine_11,6,Fruit 5 Bus Station,4.1
BusLine_11,7,Banana 11 Bus Station,4.1
BusLine_11,8,Banana 33 Bus Station,4.1
BusLine_12,1,Fruit 7 Bus Station,13.4
BusLine_12,2,Banana 8 Bus Station,13.4
BusLine_12,3,Banana 30 Bus Station,13.4
BusLine_12,4,Cat 25 Bus Station,13.4
BusLine_12,5,Happy 39 Bus Station,13.4
BusLine_12,6,Fruit 22 Bus Station,13.4
BusLine_12,7,Dog 35 Bus Station,13.4
BusLine_12,8,Banana 39 Bus Station,13.4
BusLine_12,9,Grape 11 Bus Station,13.4
BusLine_13,1,Fruit 35 Bus Station,11.3
BusLine_13,2,Cat 25 Bus Station,11.3
BusLine_13,3,Grape 28 Bus Station,11.3
BusLine_13,4,Fruit 2 Bus Station,11.3
BusLine_13,5,Banana 8 Bus Station,11.3
BusLine_13,6,Happy 9 Bus Station,11.3
BusLine_13,7,Happy 27 Bus Station,11.3
BusLine_13,8,Apple 34 Bus Station,11.3
BusLine_14,1,Apple 3 Bus Station,5.4
BusLine_14,2,Happy 39 Bus Station,5.4
BusLine_14,3,Cat 25 Bus Station,5.4
BusLine_14,4,Grape 22 Bus Station,5.4
BusLine_14,5,Banana 39 Bus Station,5.4
BusLine_15,1,Dog 20 Bus Station,12.6
BusLine_15,2,Dog 27 Bus Station,12.6
BusLine_15,3,Banana 30 Bus Station,12.6
BusLine_15,4,Cat 25 Bus Station,12.6
BusLine_15,5,Grape 28 Bus Station,12.6
BusLine_15,6,Happy 28 Bus Station,12.6
BusLine_15,7,Apple 34 Bus Station,12.6
BusLine_15,8,Happy 7 Bus Station,12.6
