Landmark_Name,Type,Abbreviation,Latitude,Longitude
Fruit 1 Train Station,Train Station,TS,22.095059,113.52541
Egg 1 Recreation Park,Recreation Park,RP,22.084028,114.284298
Dog 1 Bus Station,Bus Station,BS,22.127997,113.494056
Banana 1 Shopping Mall,Shopping Mall,SM,22.266253,113.904309
Fruit 2 Shopping Mall,Shopping Mall,SM,22.291919,113.593054
Happy 1 Recreation Park,Recreation Park,RP,22.26557,114.080404
Grape 1 Shopping Mall,Shopping Mall,SM,22.122247,113.779488
Egg 2 Recreation Park,Recreation Park,RP,22.114746,113.547909
Banana 2 Bus Station,Bus Station,BS,22.336109,113.855986
Banana 3 Train Station,Train Station,TS,22.19301,114.128164
Apple 1 Train Station,Train Station,TS,22.097645,113.582125
Cat 1 Bus Station,Bus Station,BS,22.127493,114.26966
Dog 2 Recreation Park,Recreation Park,RP,22.132204,113.766404
Dog 3 Shopping Mall,Shopping Mall,SM,22.125038,113.842191
Happy 2 Bus Station,Bus Station,BS,22.318053,114.286742
Cat 2 Train Station,Train Station,TS,22.15611,113.956028
Happy 3 Bus Station,Bus Station,BS,22.349249,113.833479
Egg 3 Residential Building,Residential Building,RB,22.317153,114.254234
Happy 4 Residential Building,Residential Building,RB,22.080548,113.9735
Happy 5 Shopping Mall,Shopping Mall,SM,22.19725,114.116475
Apple 2 Train Station,Train Station,TS,22.189886,114.279407
Apple 3 Bus Station,Bus Station,BS,22.131579,114.095085
Fruit 3 Shopping Mall,Shopping Mall,SM,22.256211,113.874408
Banana 4 Residential Building,Residential Building,RB,22.202483,114.049073
Dog 4 Shopping Mall,Shopping Mall,SM,22.122904,113.513174
Banana 5 Bus Station,Bus Station,BS,22.266206,113.597295
Grape 2 Residential Building,Residential Building,RB,22.169794,114.172525
Banana 6 Bus Station,Bus Station,BS,22.081648,113.524598
Fruit 4 Recreation Park,Recreation Park,RP,22.299784,113.642276
Cat 3 Shopping Mall,Shopping Mall,SM,22.1726,113.794045
Happy 6 Residential Building,Residential Building,RB,22.307366,114.235673
Apple 4 Train Station,Train Station,TS,22.21313,114.088664
Cat 4 Bus Station,Bus Station,BS,22.349984,114.024906
Happy 7 Recreation Park,Recreation Park,RP,22.313174,114.296836
Grape 3 Residential Building,Residential Building,RB,22.241808,113.918609
Dog 5 Train Station,Train Station,TS,22.315262,114.046207
Fruit 5 Bus Station,Bus Station,BS,22.166219,113.589126
Happy 8 Shopping Mall,Shopping Mall,SM,22.321654,113.727609
Egg 4 Recreation Park,Recreation Park,RP,22.187907,114.048798
Grape 4 Bus Station,Bus Station,BS,22.241279,113.884725
Apple 5 Shopping Mall,Shopping Mall,SM,22.269692,113.843518
Fruit 6 Bus Station,Bus Station,BS,22.17629,114.249055
Banana 7 Recreation Park,Recreation Park,RP,22.201256,113.732036
Cat 5 Bus Station,Bus Station,BS,22.277859,114.222414
Egg 5 Residential Building,Residential Building,RB,22.249563,114.185708
Banana 8 Shopping Mall,Shopping Mall,SM,22.105798,113.562769
Apple 6 Recreation Park,Recreation Park,RP,22.333257,114.014572
Egg 6 Shopping Mall,Shopping Mall,SM,22.240313,114.029154
Fruit 7 Residential Building,Residential Building,RB,22.335433,113.642774
Grape 5 Shopping Mall,Shopping Mall,SM,22.117425,113.868582
Happy 9 Bus Station,Bus Station,BS,22.08252,113.908321
Egg 7 Shopping Mall,Shopping Mall,SM,22.223299,113.562134
Fruit 8 Bus Station,Bus Station,BS,22.233739,113.62319
Dog 6 Recreation Park,Recreation Park,RP,22.219614,113.795985
Egg 8 Residential Building,Residential Building,RB,22.19843,114.060759
Apple 7 Bus Station,Bus Station,BS,22.290232,114.17464
Dog 7 Shopping Mall,Shopping Mall,SM,22.250973,114.098968
