Line_ID,Stop_Order,Station_Name,Price
BusLine_1,1,Happy 24 Bus Station,10.7
BusLine_1,2,Grape 12 Bus Station,10.7
BusLine_1,3,Banana 26 Bus Station,10.7
BusLine_1,4,Fruit 23 Bus Station,10.7
BusLine_1,5,Dog 10 Bus Station,10.7
BusLine_1,6,Egg 27 Bus Station,10.7
BusLine_2,1,Fruit 12 Bus Station,3.6
BusLine_2,2,Happy 27 Bus Station,3.6
BusLine_2,3,Egg 2 Bus Station,3.6
BusLine_2,4,Egg 29 Bus Station,3.6
BusLine_2,5,Dog 34 Bus Station,3.6
BusLine_2,6,Dog 6 Bus Station,3.6
BusLine_2,7,Banana 26 Bus Station,3.6
BusLine_3,1,Cat 19 Bus Station,5.7
BusLine_3,2,Fruit 7 Bus Station,5.7
BusLine_3,3,Dog 10 Bus Station,5.7
BusLine_3,4,Happy 44 Bus Station,5.7
BusLine_3,5,Banana 9 Bus Station,5.7
BusLine_3,6,Egg 15 Bus Station,5.7
BusLine_3,7,Fruit 23 Bus Station,5.7
BusLine_3,8,Dog 34 Bus Station,5.7
BusLine_3,9,Happy 4 Bus Station,5.7
BusLine_4,1,Cat 7 Bus Station,12.7
BusLine_4,2,Apple 14 Bus Station,12.7
BusLine_4,3,Grape 27 Bus Station,12.7
BusLine_4,4,Egg 18 Bus Station,12.7
BusLine_4,5,Grape 12 Bus Station,12.7
BusLine_4,6,Grape 2 Bus Station,12.7
BusLine_4,7,Egg 29 Bus Station,12.7
BusLine_4,8,Fruit 23 Bus Station,12.7
BusLine_4,9,Happy 44 Bus Station,12.7
BusLine_4,10,Egg 34 Bus Station,12.7
BusLine_5,1,Apple 17 Bus Station,17.6
BusLine_5,2,Dog 13 Bus Station,17.6
BusLine_5,3,Cat 21 Bus Station,17.6
BusLine_5,4,Banana 42 Bus Station,17.6
BusLine_5,5,Fruit 7 Bus Station,17.6
BusLine_5,6,Cat 28 Bus Station,17.6
BusLine_6,1,Dog 17 Bus Station,4.7
BusLine_6,2,Grape 12 Bus Station,4.7
BusLine_6,3,Banana 26 Bus Station,4.7
BusLine_6,4,Happy 27 Bus Station,4.7
BusLine_6,5,Cat 35 Bus Station,4.7
BusLine_7,1,Dog 28 Bus Station,13.9
BusLine_7,2,Cat 36 Bus Station,13.9
BusLine_7,3,Happy 33 Bus Station,13.9
BusLine_7,4,Cat 35 Bus Station,13.9
BusLine_7,5,Banana 42 Bus Station,13.9
BusLine_7,6,Egg 2 Bus Station,13.9
BusLine_8,1,Dog 5 Bus Station,10.7
BusLine_8,2,Happy 24 Bus Station,10.7
BusLine_8,3,Banana 24 Bus Station,10.7
BusLine_8,4,Dog 23 Bus Station,10.7
BusLine_8,5,Happy 33 Bus Station,10.7
BusLine_8,6,Egg 18 Bus Station,10.7
BusLine_8,7,Cat 35 Bus Station,10.7
BusLine_8,8,Banana 26 Bus Station,10.7
BusLine_8,9,Banana 28 Bus Station,10.7
BusLine_8,10,Banana 4 Bus Station,10.7
BusLine_9,1,Dog 23 Bus Station,1.9
BusLine_9,2,Happy 24 Bus Station,1.9
BusLine_9,3,Banana 24 Bus Station,1.9
BusLine_10,1,Apple 19 Bus Station,3.3
BusLine_10,2,Egg 33 Bus Station,3.3
BusLine_10,3,Apple 17 Bus Station,3.3
BusLine_10,4,Dog 13 Bus Station,3.3
BusLine_10,5,Happy 16 Bus Station,3.3
BusLine_11,1,Grape 15 Bus Station,3.5
BusLine_11,2,Dog 23 Bus Station,3.5
BusLine_11,3,Happy 8 Bus Station,3.5
BusLine_11,4,Grape 32 Bus Station,3.5
BusLine_11,5,Dog 4 Bus Station,3.5
BusLine_11,6,Happy 38 Bus Station,3.5
BusLine_12,1,Banana 9 Bus Station,15.8
BusLine_12,2,Fruit 23 Bus Station,15.8
BusLine_12,3,Dog 6 Bus Station,15.8
BusLine_12,4,Banana 26 Bus Station,15.8
BusLine_12,5,Dog 23 Bus Station,15.8
BusLine_12,6,Dog 13 Bus Station,15.8
BusLine_13,1,Banana 42 Bus Station,10.0
BusLine_13,2,Fruit 11 Bus Station,10.0
BusLine_13,3,Banana 24 Bus Station,10.0
BusLine_13,4,Happy 38 Bus Station,10.0
BusLine_13,5,Cat 36 Bus Station,10.0
BusLine_13,6,Banana 12 Bus Station,10.0
BusLine_14,1,Happy 8 Bus Station,11.6
BusLine_14,2,Banana 24 Bus Station,11.6
BusLine_14,3,Grape 2 Bus Station,11.6
BusLine_14,4,Banana 26 Bus Station,11.6
BusLine_14,5,Fruit 12 Bus Station,11.6
BusLine_14,6,Dog 10 Bus Station,11.6
BusLine_15,1,Fruit 2 Bus Station,5.6
BusLine_15,2,Dog 4 Bus Station,5.6
BusLine_15,3,Cat 7 Bus Station,5.6
BusLine_15,4,Banana 24 Bus Station,5.6
BusLine_15,5,Fruit 28 Bus Station,5.6
BusLine_15,6,Dog 5 Bus Station,5.6
BusLine_15,7,Cat 21 Bus Station,5.6
