Line_ID,Stop_Order,Station_Name,Latitude,Longitude
BusLine_1,1,Banana 16 Bus Station,22.154482,113.723967
BusLine_1,2,Apple 4 Bus Station,22.218717,113.804865
BusLine_1,3,Dog 6 Bus Station,22.279718,113.860144
BusLine_1,4,Banana 13 Bus Station,22.101406,113.936152
BusLine_1,5,Fruit 4 Bus Station,22.171921,113.964901
BusLine_1,6,Fruit 5 Bus Station,22.213625,114.037019
BusLine_1,7,Apple 11 Bus Station,22.083105,114.116702
BusLine_1,8,Fruit 3 Bus Station,22.152277,114.126283
BusLine_1,9,Grape 14 Bus Station,22.116692,114.208378
BusLine_1,10,Apple 10 Bus Station,22.115804,114.289301
BusLine_2,1,Banana 1 Bus Station,22.082014,114.192022
BusLine_2,2,Apple 11 Bus Station,22.083105,114.116702
BusLine_2,3,Fruit 3 Bus Station,22.152277,114.126283
BusLine_2,4,Fruit 5 Bus Station,22.213625,114.037019
BusLine_2,5,Fruit 4 Bus Station,22.171921,113.964901
BusLine_2,6,Banana 13 Bus Station,22.101406,113.936152
BusLine_2,7,Dog 15 Bus Station,22.108059,113.90725
BusLine_3,1,Cat 6 Bus Station,22.344791,113.731326
BusLine_3,2,Grape 6 Bus Station,22.322895,113.784619
BusLine_3,3,Dog 6 Bus Station,22.279718,113.860144
BusLine_3,4,Fruit 2 Bus Station,22.297167,114.172891
BusLine_3,5,Banana 14 Bus Station,22.349019,114.181185
BusLine_4,1,Banana 17 Bus Station,22.249452,113.587823
BusLine_4,2,Grape 6 Bus Station,22.322895,113.784619
BusLine_4,3,Apple 4 Bus Station,22.218717,113.804865
BusLine_4,4,Banana 2 Bus Station,22.26193,113.85486
BusLine_4,5,Dog 6 Bus Station,22.279718,113.860144
BusLine_4,6,Dog 15 Bus Station,22.108059,113.90725
BusLine_4,7,Fruit 4 Bus Station,22.171921,113.964901
BusLine_5,1,Banana 5 Bus Station,22.083299,114.30682
BusLine_5,2,Grape 14 Bus Station,22.116692,114.208378
BusLine_5,3,Banana 1 Bus Station,22.082014,114.192022
BusLine_5,4,Apple 11 Bus Station,22.083105,114.116702
BusLine_5,5,Fruit 3 Bus Station,22.152277,114.126283
BusLine_5,6,Fruit 2 Bus Station,22.297167,114.172891
BusLine_5,7,Fruit 5 Bus Station,22.213625,114.037019
BusLine_5,8,Fruit 4 Bus Station,22.171921,113.964901
BusLine_5,9,Banana 13 Bus Station,22.101406,113.936152
